© 2000-2023 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
TGFB1	 	growth factor	Inhibited	-4,308	bias	8,18E-03	6,39E-01	ADK,ANXA2,ARPC2,BTG1,CALM1 (includes others),CAP1,CAPNS1,CD68,CDK2AP1,CFL1,CHD4,CHI3L2,CKS2,CLEC2D,CNN2,COTL1,COX5A,CSRP1,CTSH,CXCR3,CXCR4,CYBA,CYTOR,DUSP1,DYNLL1,EEF1A1,FABP5,FLNA,FTL,FUT8,GNAI2,GPI,GSN,HCST,HHEX,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMGA1,HMOX1,HOPX,IFI30,IKZF3,ILK,ITGAX,ITGB2,ITGB7,LITAF,MAD1L1,MEF2C,MYL12A,MYL6,NCOA3,NME1,NME2,OSTF1,PARK7,PDHB,PKM,PNOC,PTPN6,PTPRC,PYCARD,RAC1,RASGRP1,RHOA,S100A10,S100A11,SAMHD1,SEC61B,SERPINB1,SPI1,SRM,TNF,TPI1,TPM3,TSC22D3,TXNIP,VASP,VIM,YBX1,YWHAE,ZEB2,ZYX	 
TNF	-0,360	cytokine	Inhibited	-4,684	bias	4,20E-02	6,39E-01	ACP5,ACTB,ARL6IP5,ATP2B1,ATP5PF,BTG1,CARD16,CD47,CD82,CFL1,CHI3L2,CLEC2D,COTL1,CXCR3,CXCR4,CYBA,DBI,DUSP1,EFHD2,FABP5,FDPS,GLUL,GRN,HLA-DRA,HMOX1,HSH2D,ILK,ITGAX,ITGB2,ITGB7,JAK1,LITAF,MEF2C,MT2A,MYL6,NEAT1,OAS1,PAK2,PARP1,PKM,PSMB8,PTPN1,PTPRC,PYCARD,RAC1,RFTN1,RHOA,S100A10,SAT1,SERPINB1,SRA1,SUPT4H1,SYK,SYTL1,TALDO1,TERF2IP,TNF,TNFRSF1B,TPT1,TSC22D3,TXNIP,UCP2,UGCG,VASP,VIM,VSIR,ZEB2	 
diphtheria toxin	 	chemical - endogenous non-mammalian	 	 	 	5,62E-03	6,39E-01	CD79A,CRIP1,HHEX,LSP1,PIKFYVE,PLAC8,PTPN1,S100A10,TNF	 
MTDH	-0,260	transcription regulator	 	 	 	1,97E-02	6,39E-01	ACTB,ANXA2,CSRP1,FLNA,GSN,HMOX1,NCOA4,RAC1,SCP2,TALDO1,TSPO,UCP2,VIM	 
MHC II	 	group	 	 	 	4,87E-02	6,39E-01	CD53,EEF1A1,HLA-DQA1,HLA-DQB1,TNF,TPT1	 
Cdk (family)	 	group	 	 	 	2,52E-02	6,39E-01	COX5A,DUSP1,TXNIP,UCP2	 
DNMT1	 	enzyme	 	 	 	4,02E-02	6,39E-01	ACTB,MAZ,MYL6,PYCARD,VIM	 
DMD	 	other	 	 	 	1,46E-02	6,39E-01	ACTG1,EEF1A1,MEF2C,PKM,S100A10,SERPINB1,TPI1,TPM3,VIM	 
MAPT	 	other	 	 	 	3,33E-02	6,39E-01	ACTB,ACTG1,ARF5,ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PF,ATP6V0D1,CAP1,CFL1,CLTA,CORO1A,COX5A,DBI,FGR,FKBP1A,GAPDH,GDI2,H2AZ2,HLA-DQA1,HLA-DQB1,HMOX1,ITGAX,ITGB2,LCP1,NDUFS6,NDUFV2,NME1,OAS1,PARK7,PEA15,PKM,PPIA,PRDX5,PSMB8,PTPN22,PTPRC,SEPTIN7,SPTAN1,TLN1,TNF,TPI1,TPM3,TPT1,UCP2,VDAC1,VIM,YWHAE	 
MMP12	 	peptidase	 	 	 	3,33E-02	6,39E-01	ACTR2,ACTR3,ADK,ARPC1B,PKM,PSAP,PSMA5,PSMB2,TLN1,TNF,TPM3,VCP,YWHAH	 
H2AX	 	transcription regulator	 	 	 	2,52E-02	6,39E-01	ACTB,ATP5F1A,MYL6,PKM	 
GLI2	 	transcription regulator	 	 	 	4,87E-02	6,39E-01	CXCR3,LAPTM5,MEF2C,TNF,UGCG,VIM	 
IL36G	 	cytokine	 	 	 	1,00E-02	6,39E-01	CXCR4,DUSP1,HMOX1,ITGB2,TNF	 
ATF3	 	transcription regulator	 	 	 	2,52E-02	6,39E-01	CD82,GSN,MT2A,TNF	 
RGS10	-0,252	enzyme	 	 	 	2,52E-02	6,39E-01	CXCR3,ITGB2,TNF,TNFRSF1B	 
HNRNPA2B1	-0,251	other	 	 	 	2,43E-02	6,39E-01	CRIP1,CUX1,GSN,IDS,OAS1,PKM,TLE1	 
MLXIPL	 	transcription regulator	 	 	 	2,52E-02	6,39E-01	ANXA2,ITGAX,TKT,TXNIP	 
SNAI1	 	transcription regulator	 	 	 	8,77E-03	6,39E-01	ACTR2,ACTR3,CFL1,CUX1,FLNA,GSN,TPM3,VASP,VIM,WIPF1,ZEB2	 
TYROBP	 	transmembrane receptor	 	 	 	1,83E-02	6,39E-01	ITGAX,NCKAP1L,PLEK,TCIRG1,TNF,TNFRSF1B	 
DYSF	 	other	 	 	 	2,77E-03	6,39E-01	ABRACL,ACTG1,ACTR3,ANXA2,ARPC2,CD53,CD68,CTSH,CYBA,FTL,HLA-DQA1,HLA-DQB1,LCP1,PSAP	 
TO-901317	 	chemical reagent	 	 	 	3,09E-02	6,39E-01	FABP5,FDFT1,FDPS,GPI,PSMA5,PSMB2,PSMB8,TKT,TNF	 
ritonavir	 	chemical drug	 	 	 	3,09E-02	6,39E-01	ATP2B1,CDCA7L,CFL1,FDFT1,FDPS,SEPTIN7,TNF,TSC22D3,TWF2	 
