© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cellular Assembly and Organization,Cellular Function and Maintenance	organization	Microtubule dynamics	6,56E-04	1,61E-01	Decreased	-3,332	ACTG1,ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,BRK1,CAP1,CAPNS1,CAPZB,CD47,CD82,CFL1,CIB1,CORO1A,CRIP1,CSRP1,CXCR3,CXCR4,DBNL,DYNLL1,FGR,FKBP1A,FLNA,FUT8,GDI2,GOLPH3,GRB2,GSN,HCK,ILK,LCP1,MEF2C,MIEN1,MTSS1,NCKAP1L,NME1,OGT,PAK2,PARP1,PFDN5,PFN1,PKM,PREX1,PSMF1,PTPN22,RAC1,RAC2,RAP1B,RHOA,RHOG,S100A11,SEPTIN7,SMARCE1,SNX3,SPTAN1,SSNA1,SYK,TLN1,TNF,TNFRSF1B,TWF2,UGCG,VASP,VDAC1,VIM,WASF2,WIPF1,YBX1,YWHAH,ZEB2	72
Cellular Movement	movement	Movement of blood platelets	6,81E-04	1,61E-01	 	-0,853	FGR,FLNA,GSN,HCK,PTPN22,RAC1,RASGRP2,SYK,TLN1,TWF2	10
Cellular Movement	cell movement	Cell movement of blood cells	6,90E-04	1,61E-01	Decreased	-3,508	ACTB,ANXA2,CD19,CD47,CD53,CD99,CIB1,CNN2,COMMD8,CORO1A,CSK,CUX1,CXCR3,CXCR4,DBNL,DUSP1,FABP5,FGR,FLNA,FUT8,GLRX,GNAI2,GRN,GSN,HCK,HLA-DQB1,HMOX1,IGF2BP3,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,MALT1,MAP4K1,MS4A1,MTCH2,MYO1G,NCKAP1L,PARP1,PFN1,PIKFYVE,PKM,PNOC,PPIA,PRDX1,PREX1,PSMB8,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,S100A10,SERPINB1,SPI1,SUMO1,SYK,TCIRG1,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TPT1,TRAPPC1,TWF2,UCP2,VASP,WIPF1,YBX1,ZDHHC12	80
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	chemotaxis	Chemotaxis of neutrophils	7,03E-04	1,61E-01	Decreased	-2,175	CD47,CORO1A,FGR,GRN,GSN,HCK,ITGB2,LSP1,NCKAP1L,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,RAC1,RAC2,SERPINB1,SPI1,SYK,TMSB10/TMSB4X,TNF	21
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	adhesion	Adhesion of phagocytes	7,03E-04	1,61E-01	Decreased	-2,776	CD99,CORO1A,FLNA,GLRX,HCK,ITGAX,ITGB2,ITGB7,LCP1,NCKAP1L,PAK2,PREX1,PTPN22,PTPN6,RAC1,RAC2,RASGRP2,SLC44A2,SPI1,TLN1,TNF	21
Free Radical Scavenging	production	Production of reactive oxygen species	8,15E-04	1,76E-01	 	-1,519	ACTB,ANXA2,ARHGDIB,CAPNS1,CD52,CYBA,CYTOR,DBI,DECR1,FCMR,FGR,FLNA,FTL,GRN,GSN,HCK,HMOX1,HVCN1,ILK,ITGAX,ITGB2,MS4A1,NDUFA11,NDUFV2,PARK7,PARP1,PPIA,PRDX1,PSMB8,PTPN22,PTPN6,RAC1,RAC2,RHOA,ROMO1,SIGLEC10,SPI1,SYK,TNF,TXNIP,UCP2,VDAC1	42
Hematological System Development and Function,Tissue Morphology	quantity	Quantity of myeloid cells	8,21E-04	1,76E-01	 	-0,032	ADD3,ARHGDIB,ARID3A,CAPNS1,CD19,CD47,CD82,CIB1,CNN2,CSK,CXCR4,DBI,DUSP1,FABP5,FLNA,GNAI2,GRN,GSN,HCK,HMOX1,ITGB2,ITGB7,LITAF,LSP1,NCKAP1L,NEDD8,PAK2,PARP1,PCLAF,PIKFYVE,PLAC8,PLD4,PRDX1,PREX1,PTPN6,RAC1,RAC2,SERPINB1,SPI1,TCF4,TCIRG1,TNF,TNFRSF1B,TPM3,TRAPPC1,TSC22D3,UNC93B1,VASP,WIPF1,YBX1,ZEB2	51
Developmental Disorder,Neurological Disease,Organismal Injury and Abnormalities	demyelination	Demyelination	8,30E-04	1,76E-01	 	0,885	CD19,CD47,CD52,CD68,CXCR3,FDFT1,FDPS,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,LITAF,LY6E,MS4A1,NCOA3,OAS1,OGT,PSAP,PSMB8,PTPRC,TNF,TNFRSF1B,TSPO	23
Cancer,Organismal Injury and Abnormalities	metastatic carcinoma	Metastatic carcinoma	8,30E-04	1,76E-01	 	 	ANXA2,CD47,CXCR3,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FTL,IFI30,JAK1,LIMD2,MYL12A,PARP1,PPIA,PTPRC,RAC1,S100A11,TMSB10/TMSB4X,TNF,TPT1,YWHAE	23
Cellular Movement	cell tethering or rolling	Cell tethering or rolling of leukocytes	8,45E-04	1,76E-01	 	-1,597	CD53,CD82,FGR,GNAI2,GOLPH3,HCK,ITGB2,ITGB7,PRDX1,PREX1,RAC2,TLN1,TNF	13
Cellular Movement	homing	Homing of cells	8,61E-04	1,76E-01	Decreased	-3,331	ACTR2,ANXA2,ARPC2,CD47,CD82,CORO1A,CSK,CUX1,CXCR3,CXCR4,DUSP1,FGR,GLRX,GNAI2,GRB2,GRN,GSN,HCK,ILK,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,MEF2C,MS4A1,MTSS1,NCKAP1L,PFN1,PIKFYVE,PNOC,PPIA,PREX1,PTPN1,PTPN6,PTPRC,RAC1,RAC2,RAP1B,RHOA,RHOG,SERPINB1,SPI1,SUMO1,SYK,TCIRG1,TMSB10/TMSB4X,TNF,WIPF1	50
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	binding	Binding of neutrophils	8,84E-04	1,77E-01	Decreased	-2,367	CD99,CORO1A,FGR,FLNA,GLRX,HCK,ITGAX,ITGB2,LCP1,LSP1,PREX1,PTPN22,PTPN6,RASGRP2,SLC44A2,TLN1,TNF	17
Cellular Function and Maintenance	homeostasis	Cellular homeostasis	9,16E-04	1,80E-01	Decreased	-2,636	ANXA2,ATP2A3,ATP2B1,ATP5MF,ATP6V0D1,BLOC1S1,CAPNS1,CD19,CD47,CD52,CD79A,CHD4,CHMP2A,CHMP4A,CLIC1,CORO1A,COX5A,CSK,CXCR3,CXCR4,CYB561A3,DYNLL1,EFHD2,EMP3,FABP5,FGR,FKBP1A,FTL,GABARAPL2,GAPDH,GPI,GRB2,GRN,GSN,HCK,HLA-DQA1,HLA-DQB1,HLA-DRA,HMGA1,HMOX1,HSPA4,IKZF3,IRAG2,ITGB2,JAK1,LAPTM5,LAT2,MAD1L1,MALT1,MEF2C,MRPL52,MS4A1,MT2A,MTCH2,MTMR14,MTSS1,NCKAP1L,NCOA4,NDUFAB1,NDUFB2,NEAT1,NME2,OAS1,OGT,PAK2,PARK7,PARP1,PFDN5,PIKFYVE,PKM,PLAC8,PLD4,PPIA,PPP1CA,PRDX1,PREX1,PSAP,PSMA5,PSMB8,PTPN22,PTPN6,PTPRC,PYCARD,RAB1B,RAC1,RAC2,RAP1B,RASGRP1,RFTN1,RHOA,SERPINB1,SLC25A5,SMARCE1,SPI1,SYK,TCF4,TCIRG1,TESC,TNF,TNFRSF1B,TSC22D3,TSPO,TXNIP,UCP2,UNC93B1,VASP,VCP,VDAC1,VIM,VPS25,YWHAE	111
Cellular Function and Maintenance	engulfment	Engulfment of tumor cell lines	9,58E-04	1,81E-01	Decreased	-4,092	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,ATP6V0D1,ATP6V1F,BRK1,CD47,CSK,EFHD2,GNAI2,GRB2,HCK,HMOX1,ITGB2,JAK1,NCKAP1L,NME1,NME2,OGT,PFN1,PKM,PLEK,PSMD4,PTPN6,RAC1,RHOA,RHOG,SIGLEC10,SPI1,TLN1,TNF,UBE2L3,VIM,WASF2	36
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	neuromuscular disease with neuropathy	Neuromuscular disease with neuropathy	9,58E-04	1,81E-01	 	 	ANXA2,AP1S2,ARHGDIB,ARL6IP5,CAPZB,CD47,CD52,CD68,CXCR3,DBNL,EEF1A1,FDFT1,FDPS,FTL,H3-3A/H3-3B,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,LY6E,MS4A1,NCOA3,NDUFV2,NEAT1,OAS1,PARK7,PSAP,PSMB8,PTPRC,S100A10,SPTAN1,TNF,TPT1,TSPO,VCP,VIM	36
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	progressive neuromuscular disease	Progressive neuromuscular disease	9,76E-04	1,81E-01	 	 	ANXA2,AP1S2,ARHGDIB,ARL6IP5,CAPZB,CD47,CD52,CD68,CXCR3,DBNL,EEF1A1,FDFT1,FDPS,FTL,H3-3A/H3-3B,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,LY6E,MS4A1,NCOA3,NDUFV2,NEAT1,OAS1,PARK7,PSAP,PSMB8,PTPRC,S100A10,TNF,TPT1,TSPO,VCP,VIM	35
Cell-To-Cell Signaling and Interaction	response	Response of myeloid cells	9,92E-04	1,81E-01	Decreased	-4,283	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CNN2,FCMR,FGR,GLRX,GNAI2,GRN,GSN,HCK,HMOX1,HSH2D,ITGAX,ITGB2,JAK1,NCKAP1L,PARK7,PLEK,PTPRC,RAC1,RAC2,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,WASF2,ZEB2	34
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Inflammatory Response	phagocytosis	Phagocytosis of blood cells	1,01E-03	1,81E-01	Decreased	-4,089	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CNN2,FCMR,FGR,GLRX,GNAI2,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,JAK1,MYO1G,NCKAP1L,PLEK,PTPRC,RAC1,RAC2,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,WASF2	32
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Inflammatory Response	phagocytosis	Phagocytosis of leukocytes	1,03E-03	1,81E-01	Decreased	-2,807	CD47,CNN2,FCMR,FGR,GLRX,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,MYO1G,NCKAP1L,PTPRC,SPI1,SYK,TNF,UCP2	18
Cell Morphology,Cellular Movement	cell spreading	Cell spreading of blood cells	1,03E-03	1,81E-01	Decreased	-2,079	CD19,CD47,CNN2,CORO1A,FGR,FLNA,HCK,ITGB2,MAP4K1,PTPN22,RAC1,RAP1B,RASGRP2,RHOA,SYK,TLN1,TNF,TWF2	18
Cellular Movement	cell movement	Cell movement of myeloid cells	1,05E-03	1,81E-01	Decreased	-3,661	ANXA2,CD47,CD99,CIB1,CNN2,CORO1A,CSK,CXCR3,CXCR4,DUSP1,FGR,FLNA,GNAI2,GRN,GSN,HCK,HMOX1,ILK,ITGAX,ITGB2,JAK1,LCP1,LITAF,LSP1,MALT1,NCKAP1L,PARP1,PFN1,PIKFYVE,PKM,PNOC,PPIA,PREX1,PSMB8,PTPN1,PTPN6,PTPRC,RAC1,RAC2,RAP1B,RASGRP2,RHOA,S100A10,SERPINB1,SPI1,SYK,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,VASP,YBX1,ZDHHC12	53
Neurological Disease,Organismal Injury and Abnormalities	progressive motor neuropathy	Progressive motor neuropathy	1,07E-03	1,83E-01	 	 	ACTB,ANXA2,AP1S2,ARHGDIB,ARL6IP5,CALM1 (includes others),CAPZB,CD47,CD52,CD68,CXCR3,DBI,DBNL,EEF1A1,EIF4A1,FDFT1,FDPS,FTL,GRN,GSN,H3-3A/H3-3B,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,JPT1,LY6E,MS4A1,NCOA3,NDUFV2,NEAT1,OAS1,PARK7,PFN1,PPIA,PSAP,PSMB8,PTPRC,RHOA,S100A10,TNF,TPT1,TSPO,VCP,VIM	45
Free Radical Scavenging	metabolism	Metabolism of reactive oxygen species	1,11E-03	1,85E-01	Decreased	-2,071	ACTB,ANXA2,ARHGDIB,CAPNS1,CD47,CD52,CLIC1,COX5B,CYBA,CYTOR,DBI,DECR1,DUSP1,FCMR,FGR,FLNA,FTL,GRN,GSN,HCK,HMOX1,HVCN1,ILK,ITGAX,ITGB2,MS4A1,NDUFA11,NDUFV2,PARK7,PARP1,PIKFYVE,PPIA,PRDX1,PRDX5,PREX1,PSMB8,PTPN1,PTPN22,PTPN6,PYCARD,RAC1,RAC2,RHOA,ROMO1,SAT1,SIGLEC10,SPI1,SYK,TNF,TXNIP,UCP2,VDAC1	52
Cell Signaling	cell surface receptor linked signal transduction	Cell surface receptor linked signal transduction	1,16E-03	1,89E-01	 	 	CD47,FGR,FKBP1A,FUT8,HCK,ILK,ITGB2,ITGB7,JAK1,MTSS1,NME2,PLEK,PTPN6,PTPRC,RHOA,SYK,TLN1,VCP,ZYX	19
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	migration	Migration of granulocytes	1,16E-03	1,89E-01	Decreased	-2,663	CD47,CD99,CNN2,CORO1A,FGR,GNAI2,HCK,ITGB2,LSP1,NCKAP1L,PKM,PREX1,PTPN6,RAC1,RAP1B,RASGRP2,TLN1,TNF,VASP	19
Cellular Movement	migration	Migration of blood cells	1,34E-03	2,15E-01	Decreased	-3,768	ACTB,ANXA2,CD19,CD47,CD53,CD99,CIB1,CNN2,COMMD8,CORO1A,CSK,CUX1,CXCR3,CXCR4,DBNL,DUSP1,FABP5,FGR,FLNA,FUT8,GLRX,GNAI2,GRN,GSN,HCK,HLA-DQB1,HMOX1,IGF2BP3,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,MALT1,MAP4K1,MS4A1,MTCH2,MYO1G,NCKAP1L,PARP1,PFN1,PIKFYVE,PKM,PNOC,PPIA,PRDX1,PREX1,PSMB8,PTPN1,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,S100A10,SERPINB1,SPI1,SUMO1,SYK,TCIRG1,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TPT1,TRAPPC1,UCP2,VASP,WIPF1,YBX1,ZDHHC12	78
Cellular Growth and Proliferation,Connective Tissue Development and Function,Tissue Development	proliferation	Proliferation of connective tissue cells	1,43E-03	2,24E-01	Decreased	-2,993	ACTB,ARID3A,BRK1,CAPNS1,CIB1,CKS2,CSK,CXCR3,DUSP1,GNAI2,GOLPH3,GPI,GRB2,GRN,HMOX1,IFI30,ILK,JAK1,NCOA4,NEAT1,OGT,PKM,PRDX1,PTPN1,PTPN6,RAC1,RAP1B,RHOA,S100A11,SEPTIN6,TCIRG1,TNF,TXNIP,VCP,VIM,WASF2,YBX1	37
Organismal Development	morphology	Morphology of body cavity	1,44E-03	2,24E-01	 	 	ARHGDIB,ARID3A,ATP2A3,CAPNS1,CAPZB,CD19,CD47,CIB1,CUX1,CXCR4,DBNL,DECR1,DUSP1,EHD3,EIF6,FABP5,FDFT1,FKBP1A,FLNA,FUT8,GNAI2,GNG5,GRB2,GRN,GSN,H1-2,HCK,HCST,HHEX,HLA-DQA1,HLA-DQB1,HMGA1,HMOX1,HOPX,HSH2D,HVCN1,IDS,IKZF3,ILK,ITGB2,ITGB7,JAK1,LITAF,LY6E,MAD1L1,MALT1,MEF2A,MEF2C,MFSD1,MTMR14,MTPN,MTSS1,NDUFS6,OGT,PARK7,PARP1,PFN1,PLD4,PPIA,PPP1CA,PRDX1,PRDX5,PREX1,PSAP,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RASGRP1,RHOA,S100A10,SCP2,SPI1,SPTAN1,SYK,SYTL1,TCIRG1,TKT,TLN1,TNF,TNFRSF1B,TPI1,TPT1,TSC22D3,TXNIP,UGCG,UNC93B1,VDAC1,WASF2,WIPF1,YBX1,YWHAE,ZEB2	95
Connective Tissue Disorders,Hematological Disease,Organismal Injury and Abnormalities	erythrocytosis	Erythrocytosis	1,57E-03	2,33E-01	 	1,231	HMGA1,JAK1,PRDX1,PTPN6,RAC1,RAC2,RHOA	7
Developmental Disorder,Hereditary Disorder,Lipid Metabolism,Metabolic Disease,Organismal Injury and Abnormalities,Small Molecule Biochemistry	sphingolipidosis	Sphingolipidosis	1,57E-03	2,33E-01	 	 	CD47,CD68,GRN,ITGAX,PSAP,TNF,UGCG	7
Cell Death and Survival	removal	Removal of cells	1,58E-03	2,33E-01	 	-0,808	ANXA2,CD47,CD68,FABP5,FLNA,PAK2,SYK,TNF,UCP2	9
Cell Morphology,Cellular Movement,Hematological System Development and Function,Inflammatory Response	cell spreading	Cell spreading of blood platelets	1,58E-03	2,33E-01	 	-1,238	FGR,FLNA,HCK,PTPN22,RAC1,RASGRP2,SYK,TLN1,TWF2	9
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Hematological System Development and Function	phagocytosis	Phagocytosis of myeloid cells	1,64E-03	2,38E-01	Decreased	-4,280	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CNN2,FCMR,FGR,GLRX,GNAI2,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,JAK1,NCKAP1L,PLEK,PTPRC,RAC1,RAC2,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,WASF2	31
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	migration	Migration of phagocytes	1,65E-03	2,38E-01	Decreased	-3,615	ANXA2,CD47,CD99,CNN2,CORO1A,CXCR3,CXCR4,FGR,FLNA,HCK,HLA-DQB1,HMOX1,ITGAX,ITGB2,JAK1,LSP1,NCKAP1L,PARP1,PKM,PREX1,PTPN6,RAC1,RAC2,RAP1B,RASGRP2,RHOA,S100A10,SPI1,TLN1,TNF	30
Cardiovascular System Development and Function,Organ Development	heart rate	Heart rate	1,69E-03	2,41E-01	 	0,426	ANXA4,CALM1 (includes others),CAPNS1,CD47,EHD3,GNAI2,GSN,HMOX1,HOPX,MEF2A,NDUFS6,PARP1,PPP1CA,RHOA,SUMO1,TNF	16
Cardiovascular System Development and Function,Organ Development,Organ Morphology	contraction	Contraction of heart	1,77E-03	2,48E-01	 	0,128	ANXA4,CALM1 (includes others),CAPNS1,EHD3,GNAI2,GSN,HMOX1,HOPX,NDUFS6,PPP1CA,RHOA,SUMO1	12
Cellular Movement,Immune Cell Trafficking	migration	Leukocyte migration	1,85E-03	2,54E-01	Decreased	-3,637	ACTB,ANXA2,CD19,CD47,CD53,CD99,CIB1,CNN2,COMMD8,CORO1A,CSK,CUX1,CXCR3,CXCR4,DBNL,DUSP1,FABP5,FGR,FLNA,FUT8,GLRX,GNAI2,GRN,GSN,HCK,HLA-DQB1,HMOX1,IGF2BP3,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,MALT1,MAP4K1,MS4A1,MYO1G,NCKAP1L,PARP1,PFN1,PIKFYVE,PKM,PNOC,PPIA,PRDX1,PREX1,PSMB8,PTPN1,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,S100A10,SERPINB1,SPI1,SUMO1,SYK,TCIRG1,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TPT1,TRAPPC1,UCP2,VASP,WIPF1,YBX1,ZDHHC12	77
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cell movement	Cell movement of granulocytes	1,91E-03	2,54E-01	Decreased	-2,681	ANXA2,CD47,CD99,CNN2,CORO1A,CSK,CXCR3,DUSP1,FGR,GNAI2,GRN,GSN,HCK,HMOX1,ILK,ITGB2,LSP1,MALT1,NCKAP1L,PARP1,PIKFYVE,PKM,PNOC,PPIA,PREX1,PTPN6,RAC1,RAC2,RAP1B,RASGRP2,SERPINB1,SPI1,SYK,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,VASP,YBX1,ZDHHC12	40
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	migration	Migration of neutrophils	1,93E-03	2,54E-01	Decreased	-2,922	CD47,CD99,CNN2,CORO1A,FGR,HCK,ITGB2,LSP1,NCKAP1L,PKM,PREX1,PTPN6,RAC1,RAP1B,RASGRP2,TLN1,TNF	17
Cancer,Organismal Injury and Abnormalities,Respiratory Disease	lung carcinoma	Advanced lung carcinoma	1,93E-03	2,54E-01	 	 	ANXA2,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FTL,IFI30,JAK1,MYL12A,PARP1,PPIA,TMSB10/TMSB4X,TNF,TPT1,YWHAE	17
Cancer,Organismal Injury and Abnormalities,Respiratory Disease	metastatic lung carcinoma	Metastatic lung carcinoma	1,93E-03	2,54E-01	 	 	ANXA2,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FTL,IFI30,JAK1,MYL12A,PARP1,PPIA,TMSB10/TMSB4X,TNF,TPT1,YWHAE	17
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cell movement	Cell movement of leukocytes	2,10E-03	2,75E-01	Decreased	-3,907	ACTB,ANXA2,CD19,CD47,CD53,CD99,CNN2,COMMD8,CORO1A,CSK,CUX1,CXCR3,CXCR4,DBNL,DUSP1,FABP5,FGR,FLNA,GNAI2,GRN,GSN,HCK,HLA-DQB1,HMOX1,IGF2BP3,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,MALT1,MAP4K1,MYO1G,NCKAP1L,PARP1,PFN1,PIKFYVE,PKM,PNOC,PPIA,PRDX1,PREX1,PSMB8,PTPN1,PTPN6,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,S100A10,SERPINB1,SPI1,SUMO1,SYK,TCIRG1,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TRAPPC1,UCP2,VASP,WIPF1,YBX1,ZDHHC12	71
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking	binding	Binding of granulocytes	2,13E-03	2,75E-01	Decreased	-2,233	CD99,CORO1A,CSK,FGR,FLNA,GLRX,HCK,ITGAX,ITGB2,LCP1,LSP1,PREX1,PTPN22,PTPN6,RASGRP2,SLC44A2,TLN1,TNF	18
Infectious Diseases,Organismal Injury and Abnormalities	infection	Viral Infection	2,27E-03	2,89E-01	Decreased	-5,590	ACTB,ACTR2,ACTR3,ADK,ANXA2,AP1S2,ARF5,ARHGDIB,ARPC1B,ARPC3,ARPC5,ATP5F1A,ATP5F1B,ATP6V0D1,BLOC1S1,CALM1 (includes others),CARD16,CD19,CD79A,CFL1,CHI3L2,CHMP2A,CHMP4A,CIB1,CLTA,CXCR3,CXCR4,DDX17,DECR1,DUSP1,EEA1,EEF1A1,EIF4E2,ELOB,FDFT1,FDPS,FKBP1A,FLNA,FTL,GABARAPL2,GAPDH,GLUL,GOLPH3,GRB2,H1-2,H3-3A/H3-3B,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMGA1,HMOX1,HSPA4,ITGB2,ITGB7,JAK1,LAMTOR5,LAPTM5,LSP1,LY6E,MS4A1,MT2A,MYL6,NCOA3,NDUFS6,NEDD8,NOP53,OAS1,OGT,PAK2,PARP1,PFN1,PIKFYVE,PKM,PLAC8,PLEK,PNRC1,POLR2G,POLR2L,POU2F2,PPIA,PPM1M,PRDX1,PSMA2,PSMA5,PSMB8,PSMD4,PTPN1,PTPN6,PTPRC,PYCARD,RAB1B,RABEP1,RAC1,RAP1B,RHOA,SAMHD1,SAMM50,SAT1,SF3B6,SFT2D1,SNRPD1,SPI1,SPTAN1,SRPK2,SUB1,SUMO1,SUMO2,SYK,TAGLN2,TALDO1,TCIRG1,TKT,TLE5,TNF,TNFRSF1B,TPM3,TPT1,TRAPPC1,TSPO,TXNIP,UBE2L3,UGCG,UNC93B1,VCP,VIM,WASF2,WIPF1,YBX1,YWHAE,ZEB2,ZYX	135
Inflammatory Disease,Neurological Disease,Organismal Injury and Abnormalities	inflammatory demyelinating disease	Inflammatory demyelinating disease	2,30E-03	2,90E-01	 	 	CD19,CD47,CD52,CD68,CXCR3,FDFT1,FDPS,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,LY6E,MS4A1,NCOA3,OAS1,PSMB8,PTPRC,TNF,TSPO	19
Cell-To-Cell Signaling and Interaction	response	Response of tumor cell lines	2,43E-03	2,97E-01	Decreased	-3,347	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CSK,GAPDH,GNAI2,GRB2,HCK,HMOX1,ITGB2,JAK1,MS4A1,NCKAP1L,PFN1,PKM,PLEK,PSMD4,PTPN6,RAC1,RHOA,RHOG,SIGLEC10,SPI1,TLN1,TNF,UBE2L3,VCP,VIM,WASF2	33
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	aggregation	Aggregation of blood cells	2,44E-03	2,97E-01	Decreased	-2,013	ATP2A3,CD47,CLIC1,CXCR3,GNAI2,GSN,ITGB2,PLEK,PPIA,PTPN1,PTPN22,PTPN6,RAP1B,RASGRP1,RASGRP2,RHOG,SYK,TLN1,TNF,VASP	20
Infectious Diseases,Organismal Injury and Abnormalities	severe COVID-19	Severe COVID-19	2,44E-03	2,97E-01	 	 	ACTB,AP1S2,DUSP1,EEF1A1,FLNA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,JAK1,PFN1,PKM,PLAC8,PLEK,PPIA,TAGLN2,TNF,TPT1,TXNIP	20
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	benign neuroendocrine neoplasm	Benign neuroendocrine neoplasm	2,63E-03	2,99E-01	 	 	ANXA2,CXCR4,GNAI2,H1-2,HMGA1,HMOX1,OGT,PRDX1,RAC2,RALY	10
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	head and neck neuroendocrine tumor	Head and neck neuroendocrine tumor	2,63E-03	2,99E-01	 	 	ANXA2,CXCR4,GNAI2,H1-2,HMGA1,HMOX1,JAK1,OGT,RAC2,RALY	10
Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities	lysosomal storage disease	Lysosomal storage disease	2,63E-03	2,99E-01	 	 	ATP5F1A,CD47,CD68,GRN,IDS,ITGAX,MS4A1,PSAP,TNF,UGCG	10
Cellular Assembly and Organization,Cellular Compromise	disassembly	Disassembly of filaments	2,63E-03	2,99E-01	Decreased	-2,537	CAP1,CFL1,CIB1,GSN,ILK,PLEK,PPP1CA,RAC1,VIM,WDR1	10
Cell Morphology,Hematological System Development and Function,Inflammatory Response	shape change	Shape change of blood platelets	2,63E-03	2,99E-01	 	-1,556	FGR,FLNA,HCK,PTPN22,RAC1,RASGRP2,RHOA,SYK,TLN1,TWF2	10
Cellular Assembly and Organization	development	Development of cytoplasm	2,64E-03	2,99E-01	Decreased	-3,075	ACTB,ACTG1,ARPC2,BLOC1S1,BRK1,CFL1,CORO1A,DBNL,DYNLL1,FLNA,GLUL,GNAI2,GNG5,GPI,GRB2,GSN,HCK,MS4A1,MTSS1,NCKAP1L,NCOA3,NDUFS6,PAK2,PARK7,PFDN5,PFN1,PIKFYVE,PREX1,PYCARD,RAC1,RHOA,S100A10,TCIRG1,TNF,TPM3,TWF2,VASP,VCP,WASF2,WIPF1,ZYX	41
