© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Dermatan Sulfate Degradation (Metazoa)	3,99E-01	1E00	NaN	IDS	
Ascorbate Recycling (Cytosolic)	3,99E-01	1E00	NaN	GLRX	
Glutathione Redox Reactions II	3,99E-01	1E00	NaN	GLRX	
Serotonin Degradation	3,99E-01	1E00	NaN	DHRS9	
Bile Acid Biosynthesis, Neutral Pathway	3,99E-01	1E00	NaN	SCP2	
Retinol Biosynthesis	3,99E-01	1E00	NaN	DHRS9	
Spermidine Biosynthesis I	3,99E-01	1E00	NaN	SRM	
Triacylglycerol Biosynthesis	3,99E-01	1E00	NaN	PLPP5	
Noradrenaline and Adrenaline Degradation	3,99E-01	1E00	NaN	DHRS9	
Trans, trans-farnesyl Diphosphate Biosynthesis	3,99E-01	1E00	NaN	FDPS	
Putrescine Degradation III	3,99E-01	1E00	NaN	SAT1	
Adenine and Adenosine Salvage VI	3,99E-01	1E00	NaN	ADK	
UDP-N-acetyl-D-galactosamine Biosynthesis II	3,99E-01	1E00	NaN	GPI	
Ethanol Degradation II	3,99E-01	1E00	NaN	DHRS9	
GDP-mannose Biosynthesis	3,99E-01	1E00	NaN	GPI	
Role of p14/p19ARF in Tumor Suppression	3,99E-01	1E00	NaN	RAC1	
Apelin Liver Signaling Pathway	3,99E-01	1E00	NaN	TNF	
TREM1 Signaling	3,93E-01	5E-01	-2,000	GRB2,ITGAX,LAT2,TNF	
Glycolysis I	3,93E-01	5E-01	-2,000	GAPDH,GPI,PKM,TPI1	
Kinetochore Metaphase Signaling Pathway	3,93E-01	5E-01	NaN	H2AZ2,MAD1L1,PPP1CA,PPP1R7	
G-Protein Coupled Receptor Signaling	3,73E-01	4,29E-01	-3,873	CALM1 (includes others),DUSP1,GNAI2,GNG5,GRB2,MEF2A,MEF2C,MYL12A,MYL6,PAK2,PREX1,RAC1,RAC2,RAP1B,RASGRP1	
NAD Signaling Pathway	3,73E-01	4,62E-01	NaN	H1-2,PARP1,PARP15,POLR2E,POLR2G,POLR2L	
Corticotropin Releasing Hormone Signaling	3,73E-01	4,62E-01	-2,000	ARPC5,CALM1 (includes others),GNAI2,MEF2A,MEF2C,RAP1B	
3-phosphoinositide Degradation	3,56E-01	4,35E-01	-2,530	ACP5,DUSP1,MTMR14,PIKFYVE,PPP1CA,PPP1R7,PTPN1,PTPN22,PTPN6,PTPRC	
Melanocyte Development and Pigmentation Signaling	3,43E-01	5E-01	NaN	GRB2,PTPN6,RAP1B	
Antiproliferative Role of Somatostatin Receptor 2	3,43E-01	5E-01	NaN	GNG5,PTPN6,RAP1B	
iNOS Signaling	3,43E-01	5E-01	NaN	CALM1 (includes others),HMGA1,JAK1	
TGF-β Signaling	3,43E-01	5E-01	NaN	GRB2,MAP4K1,RAP1B	
Oxidative Phosphorylation	3,4E-01	4,17E-01	-4,472	ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5MC2,ATP5MC3,ATP5MF,ATP5PB,ATP5PF,COX5A,COX5B,COX8A,NDUFA11,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,UQCR11,UQCRH	
IL-3 Signaling	3,32E-01	4,55E-01	-1,342	GRB2,JAK1,PTPN6,RAC1,RAP1B	
HIPPO signaling	3,32E-01	4,55E-01	NaN	PPP1CA,PPP1R7,YWHAB,YWHAE,YWHAH	
AMPK Signaling	3,27E-01	4,38E-01	NaN	ACTB,GNAI2,GNG5,PPM1G,PPM1M,SMARCC1,SMARCE1	
mTOR Signaling	3,24E-01	4,29E-01	-2,646	EIF4A1,FKBP1A,HMOX1,PLD4,RAC1,RAC2,RAP1B,RHOA,RHOG	
CLEAR Signaling Pathway	3,21E-01	4,19E-01	1,941	ATP6V0D1,ATP6V1F,BLOC1S1,IFI30,LAMTOR5,PSAP,RAP1B,TCIRG1,TNF,TNFRSF1B,YWHAB,YWHAE,YWHAH	
Mitochondrial Dysfunction	3,17E-01	4,09E-01	4,041	ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5MC2,ATP5MC3,ATP5MF,ATP5PB,ATP5PF,CALM1 (includes others),CAPNS1,COX5A,COX5B,COX8A,NDUFA11,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,PARK7,PDHB,SAMM50,UCP2,UQCR11,UQCRH,VDAC1	
14-3-3-mediated Signaling	2,92E-01	4,21E-01	-2,646	GRB2,RAP1B,SRPK2,TNF,VIM,YWHAB,YWHAE,YWHAH	
Sperm Motility	2,92E-01	4,21E-01	NaN	CALM1 (includes others),CSK,FGR,GNAI2,GNG5,HCK,JAK1,SYK	
Immunogenic Cell Death Signaling Pathway	2,87E-01	4,44E-01	-2,000	HSPA4,PYCARD,TNF,TNFRSF1B	
Antioxidant Action of Vitamin C	2,87E-01	4,44E-01	NaN	GLRX,HMOX1,PLD4,TNF	
IL-6 Signaling	2,87E-01	4,44E-01	-2,000	GRB2,RAP1B,TNF,TNFRSF1B	
NER (Nucleotide Excision Repair, Enhanced Pathway)	2,87E-01	4,44E-01	NaN	NEDD8,POLR2E,POLR2G,POLR2L	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	2,87E-01	4,44E-01	-2,000	ATP6V0D1,ATP6V1F,RAP1B,TCIRG1	
NFKBIE Signaling Pathway	2,81E-01	5E-01	NaN	TNF,TNFRSF1B	
Lipid Antigen Presentation by CD1	2,81E-01	5E-01	NaN	AP2S1,PSAP	
Retinoic acid Mediated Apoptosis Signaling	2,81E-01	5E-01	NaN	PARP1,PARP15	
Neuroprotective Role of THOP1 in Alzheimer's Disease	2,81E-01	5E-01	NaN	PNOC,YWHAE	
Role of MAPK Signaling in the Pathogenesis of Influenza	2,81E-01	5E-01	NaN	RAP1B,TNF	
TNFR2 Signaling	2,81E-01	5E-01	NaN	TNF,TNFRSF1B	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2,81E-01	5E-01	NaN	GNAI2,PLAC8	
Transcriptional Regulatory Network in Embryonic Stem Cells	2,81E-01	5E-01	NaN	JAK1,RAP1B	
Phospholipases	2,81E-01	5E-01	NaN	HMOX1,PLD4	
EGF Signaling	2,81E-01	5E-01	NaN	GRB2,JAK1	
CXCR4 Signaling	2,68E-01	4,07E-01	-2,530	CXCR4,GNAI2,GNG5,MYL12A,MYL6,PAK2,RAC1,RAC2,RAP1B,RHOA,RHOG	
Systemic Lupus Erythematosus Signaling	2,64E-01	4,09E-01	NaN	CD79A,GRB2,LSM14A,PTPN6,PTPRC,RAP1B,SNRNP25,SNRPD1,TNF	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	2,64E-01	4,09E-01	-2,333	ACP5,DUSP1,PIKFYVE,PPP1CA,PPP1R7,PTPN1,PTPN22,PTPN6,PTPRC	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	2,64E-01	4,09E-01	-2,333	ACP5,DUSP1,PIKFYVE,PPP1CA,PPP1R7,PTPN1,PTPN22,PTPN6,PTPRC	
LPS/IL-1 Mediated Inhibition of RXR Function	2,37E-01	4,29E-01	NaN	FABP5,TNF,TNFRSF1B	
Ceramide Signaling	2,37E-01	4,29E-01	NaN	RAP1B,TNF,TNFRSF1B	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2,37E-01	4,29E-01	NaN	OAS1,SYK,TNF	
Primary Immunodeficiency Signaling	2,37E-01	4,29E-01	NaN	CD19,CD79A,PTPRC	
Type II Diabetes Mellitus Signaling	2,37E-01	4,29E-01	NaN	PKM,TNF,TNFRSF1B	
Salvage Pathways of Pyrimidine Ribonucleotides	2,37E-01	4,29E-01	NaN	NME1,NME2,PAK2	
STAT3 Pathway	2,37E-01	4,29E-01	NaN	PTPN6,RAC1,RAP1B	
Interferon Signaling	2,37E-01	4,29E-01	NaN	JAK1,OAS1,PSMB8	
PI3K Signaling in B Lymphocytes	2,34E-01	4E-01	-2,828	CALM1 (includes others),CD19,CD79A,MALT1,PTPRC,RAC1,RAP1B,SYK	
HGF Signaling	2,25E-01	4E-01	NaN	GRB2,ITGAX,ITGB2,ITGB7,RAC1,RAP1B	
Apoptosis Signaling	2,25E-01	4E-01	-0,816	CAPNS1,PARP1,RAP1B,SPTAN1,TNF,TNFRSF1B	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	2,1E-01	4E-01	-1,000	CTSH,JAK1,TCF4,TNF	
ISGylation Signaling Pathway	2,1E-01	4E-01	-2,000	EIF4E2,ITGB2,JAK1,UBE2L3	
PPARα/RXRα Activation	2,1E-01	4E-01	1,000	GRB2,MEF2C,NCOA3,RAP1B	
Gαi Signaling	2,1E-01	4E-01	-2,000	GNAI2,GNG5,GRB2,RAP1B	
Gαs Signaling	2,1E-01	4E-01	NaN	ADD3,GNAI2,GNG5,HCK	
FXR/RXR Activation	1,94E-01	5E-01	NaN	TNF	
PXR/RXR Activation	1,94E-01	5E-01	NaN	TNF	
Granzyme B Signaling	1,94E-01	5E-01	NaN	PARP1	
IL-17A Signaling in Airway Cells	1,94E-01	5E-01	NaN	JAK1	
IL-17A Signaling in Gastric Cells	1,94E-01	5E-01	NaN	TNF	
Telomere Extension by Telomerase	1,94E-01	5E-01	NaN	TERF2IP	
Glutaryl-CoA Degradation	1,94E-01	5E-01	NaN	PARK7	
Heme Degradation	1,94E-01	5E-01	NaN	HMOX1	
Sucrose Degradation V (Mammalian)	1,94E-01	5E-01	NaN	TPI1	
NADH Repair	1,94E-01	5E-01	NaN	GAPDH	
NAD Salvage Pathway II	1,94E-01	5E-01	NaN	ACP5	
Cholesterol Biosynthesis I	1,94E-01	5E-01	NaN	FDFT1	
NAD Phosphorylation and Dephosphorylation	1,94E-01	5E-01	NaN	ACP5	
TCA Cycle II (Eukaryotic)	1,94E-01	5E-01	NaN	MDH2	
Colanic Acid Building Blocks Biosynthesis	1,94E-01	5E-01	NaN	GPI	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	1,94E-01	5E-01	NaN	FDFT1	
Cholesterol Biosynthesis III (via Desmosterol)	1,94E-01	5E-01	NaN	FDFT1	
Fatty Acid β-oxidation I	1,94E-01	5E-01	NaN	SCP2	
Aspartate Degradation II	1,94E-01	5E-01	NaN	MDH2	
IL-23 Signaling Pathway	1,94E-01	5E-01	NaN	TNF	
DHCR24 Signaling Pathway	1,79E-01	4E-01	NaN	HMOX1,RAP1B	
DNA Methylation and Transcriptional Repression Signaling	1,79E-01	4E-01	NaN	CHD4,TCF4	
Superpathway of Cholesterol Biosynthesis	1,79E-01	4E-01	NaN	FDFT1,FDPS	
BER (Base Excision Repair) Pathway	1,79E-01	4E-01	NaN	ARL6IP5,PARP1	
Oxytocin Signaling Pathway	-0E00	3,91E-01	-2,333	ATP2B1,CALM1 (includes others),GNAI2,GNG5,GRB2,MEF2C,MYL6,RAP1B,RHOA	
Pyroptosis Signaling Pathway	-0E00	3,85E-01	-0,447	PYCARD,RHOA,TNF,TNFRSF1B,TXNIP	
Neutrophil Extracellular Trap Signaling Pathway	-0E00	3,93E-01	-4,491	ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5PB,FGR,HCK,ITGB2,NDUFA11,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,PYCARD,RAC1,RAC2,SERPINB1,SLC25A5,SYK,TIMM13,TNF,TSPO,VDAC1	
IL-33 Signaling Pathway	-0E00	2,5E-01	NaN	H2AZ2,SYK,TNF	
NOD1/2 Signaling Pathway	-0E00	3,33E-01	-1,000	HSPA4,PYCARD,RAC1,TNF	
WNK Renal Signaling Pathway	-0E00	3,33E-01	NaN	CALM1 (includes others),ELOB,TNF	
Cachexia Signaling Pathway	-0E00	3,14E-01	-2,714	CAPNS1,HSPA4,MEF2C,PSMA2,PSMA5,PSMB2,PSMB8,PSMD4,PSMF1,TNF,TNFRSF1B	
Microautophagy Signaling Pathway	-0E00	3,46E-01	-3,000	CHMP2A,CHMP4A,PSMA2,PSMA5,PSMB2,PSMB8,PSMD4,PSMF1,VPS25	
NRF2-mediated Oxidative Stress Response	-0E00	3,5E-01	-1,342	ACTB,ACTG1,FTL,HMOX1,PRDX1,RAP1B,VCP	
VDR/RXR Activation	-0E00	3,33E-01	NaN	NCOA3,SERPINB1	
α-Adrenergic Signaling	-0E00	3,08E-01	NaN	CALM1 (includes others),GNAI2,GNG5,RAP1B	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	3,33E-01	NaN	TNF	
IL-8 Signaling	-0E00	3,71E-01	-3,464	GNAI2,GNG5,HMOX1,ITGAX,ITGB2,PAK2,PLD4,RAC1,RAC2,RAP1B,RHOA,RHOG,VASP	
Role of PKR in Interferon Induction and Antiviral Response	-0E00	3,08E-01	NaN	HSPA4,JAK1,PYCARD,TNF	
LPS-stimulated MAPK Signaling	-0E00	2,5E-01	NaN	RAC1,RAP1B	
NF-κB Activation by Viruses	-0E00	1,67E-01	NaN	RAP1B	
CCR5 Signaling in Macrophages	-0E00	2,5E-01	NaN	CALM1 (includes others),GNAI2,GNG5	
Thrombopoietin Signaling	-0E00	2,86E-01	NaN	GRB2,RAP1B	
HIF1α Signaling	-0E00	3,85E-01	-0,707	ELOB,GPI,HMOX1,HSPA4,PKM,RAC1,RAC2,RAP1B,SAT1,VIM	
Relaxin Signaling	-0E00	2,73E-01	NaN	GNAI2,GNG5,RAP1B	
Cell Cycle Regulation by BTG Family Proteins	-0E00	3,33E-01	NaN	BTG1	
Human Embryonic Stem Cell Pluripotency	-0E00	3E-01	NaN	GRB2,JAK1,RAP1B	
Growth Hormone Signaling	-0E00	1,67E-01	NaN	PTPN6	
Prolactin Signaling	-0E00	2,86E-01	NaN	GRB2,RAP1B	
MYC Mediated Apoptosis Signaling	-0E00	3,33E-01	NaN	TNF,TNFRSF1B	
G Beta Gamma Signaling	-0E00	2,86E-01	-2,000	GNAI2,GNG5,GRB2,RAP1B	
G Protein Signaling Mediated by Tubby	-0E00	3,33E-01	NaN	GNAI2,GNG5,GRB2	
Communication between Innate and Adaptive Immune Cells	-0E00	3,75E-01	NaN	CD79A,HLA-DRA,TNF	
Sphingosine-1-phosphate Signaling	-0E00	3,12E-01	-2,000	GNAI2,RAC1,RAC2,RHOA,RHOG	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-0E00	3,68E-01	NaN	CALM1 (includes others),RAC1,RAP1B,RHOA,TCF4,TNF,TNFRSF1B	
IL-1 Signaling	-0E00	2,22E-01	NaN	GNAI2,GNG5	
Granzyme A Signaling	-0E00	3,1E-01	2,333	H1-2,NDUFA11,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,NME1,PARP1	
TNFR1 Signaling	-0E00	3,33E-01	NaN	PAK2,TNF	
IL-17A Signaling in Fibroblasts	-0E00	2E-01	NaN	TNF	
Role of JAK family kinases in IL-6-type Cytokine Signaling	-0E00	2E-01	NaN	JAK1	
Gap Junction Signaling	-0E00	2,94E-01	NaN	ACTB,ACTG1,GNAI2,GRB2,RAP1B	
Telomerase Signaling	-0E00	3E-01	NaN	GRB2,RAP1B,TERF2IP	
VEGF Family Ligand-Receptor Interactions	-0E00	2,86E-01	NaN	GRB2,RAP1B	
D-myo-inositol-5-phosphate Metabolism	-0E00	3,75E-01	-2,333	ACP5,DUSP1,PIKFYVE,PPP1CA,PPP1R7,PTPN1,PTPN22,PTPN6,PTPRC	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00	2,5E-01	NaN	PAK2	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00	3,33E-01	NaN	PIKFYVE	
Superpathway of Inositol Phosphate Compounds	-0E00	3,75E-01	-2,333	ACP5,DUSP1,PIKFYVE,PPP1CA,PPP1R7,PTPN1,PTPN22,PTPN6,PTPRC	
3-phosphoinositide Biosynthesis	-0E00	3,91E-01	-2,333	ACP5,DUSP1,PIKFYVE,PPP1CA,PPP1R7,PTPN1,PTPN22,PTPN6,PTPRC	
Tryptophan Degradation III (Eukaryotic)	-0E00	3,33E-01	NaN	PARK7	
Gluconeogenesis I	-0E00	3,75E-01	NaN	GAPDH,GPI,MDH2	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	-0E00	3,33E-01	NaN	FDPS	
Gαq Signaling	-0E00	3,85E-01	-2,646	CALM1 (includes others),CSK,GNAI2,GNG5,HMOX1,PLD4,RAC1,RAC2,RHOA,RHOG	
UVB-Induced MAPK Signaling	-0E00	2E-01	NaN	H3-3A/H3-3B	
UVC-Induced MAPK Signaling	-0E00	2E-01	NaN	RAP1B	
Vitamin-C Transport	-0E00	3,33E-01	NaN	GLRX	
Adipogenesis pathway	-0E00	3,33E-01	NaN	TNF,TXNIP	
Unfolded protein response	-0E00	3,75E-01	NaN	CD82,HSPA4,VCP	
Toll-like Receptor Signaling	-0E00	1,67E-01	NaN	TNF	
Protein Ubiquitination Pathway	-0E00	1,95E-01	NaN	ELOB,HSPA4,PSMA2,PSMA5,PSMB2,PSMB8,PSMD4,UBE2L3	
cAMP-mediated signaling	-0E00	3E-01	NaN	CALM1 (includes others),DUSP1,GNAI2	
NF-κB Signaling	-0E00	2,67E-01	-2,000	MALT1,RAP1B,TNF,TNFRSF1B	
Hypoxia Signaling in the Cardiovascular System	-0E00	1,54E-01	NaN	SUMO1,UBE2L3	
PDGF Signaling	-0E00	3,75E-01	NaN	GRB2,JAK1,RAP1B	
Autophagy	-0E00	2,35E-01	-2,000	CALM1 (includes others),GABARAPL2,TNF,TNFRSF1B	
Macropinocytosis Signaling	-0E00	3,85E-01	NaN	ITGB2,ITGB7,RAC1,RAP1B,RHOA	
Inflammasome pathway	-0E00	3,33E-01	NaN	PYCARD	
Sumoylation Pathway	-0E00	3,33E-01	0,447	ARHGDIB,RAC1,RAC2,RHOA,RHOG,SUMO1,SUMO2	
IL-7 Signaling Pathway	-0E00	3,33E-01	NaN	GRB2,JAK1	
Sirtuin Signaling Pathway	-0E00	3,67E-01	0,832	ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5PB,ATP5PF,GABARAPL2,H1-2,H3-3A/H3-3B,NDUFA11,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,PARP1,SLC25A5,TIMM13,TNF,TSPO,UCP2,VDAC1	
Apelin Adipocyte Signaling Pathway	-0E00	2,73E-01	NaN	GNAI2,RAC1,RAC2	
Apelin Cardiomyocyte Signaling Pathway	-0E00	3,64E-01	-2,000	ATP2A3,GNAI2,MYL12A,MYL6	
Apelin Muscle Signaling Pathway	-0E00	3,33E-01	NaN	GNAI2,GNG5	
FAT10 Signaling Pathway	-0E00	3,04E-01	NaN	PSMA2,PSMA5,PSMB2,PSMB8,PSMD4,PSMF1,TNF	
Senescence Pathway	-0E00	3,53E-01	-2,449	CALM1 (includes others),CAPNS1,PARP1,PDHB,PPP1CA,RAP1B	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00	3,67E-01	-2,449	PSMA2,PSMA5,PSMB2,PSMB8,PSMD4,PSMF1,TNF,TNFRSF1B,YWHAB,YWHAE,YWHAH	
HOTAIR Regulatory Pathway	-0E00	3,64E-01	NaN	H3-3A/H3-3B,LAMTOR5,TCF4,VIM	
BEX2 Signaling Pathway	-0E00	1,67E-01	NaN	TCF4	
Insulin Secretion Signaling Pathway	-0E00	3,68E-01	-2,646	EIF4A1,FGR,HCK,JAK1,PDHB,RAP1B,SEC61B	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	-0E00	3,33E-01	NaN	TCF4	
Coronavirus Pathogenesis Pathway	-0E00	3,57E-01	-0,447	EEF1A1,JAK1,OAS1,PIKFYVE,PYCARD	
GM-CSF Signaling	-0E00	3,33E-01	NaN	GRB2,HCK,RAP1B	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	-0E00	2,5E-01	NaN	TNF	
